entity,appearances,gender,filename,order,title,year,division,livre,series,volume,tome,no
Moina de Saint-Heeren,6,W,lacomediehumaine_unefilledeve.txt,13,Une fille d'eve,1838,I. Etudes de moeurs,I. Scenes de la vie privee,,2,2,2
monsieur de Granville,12,?,lacomediehumaine_unefilledeve.txt,13,Une fille d'eve,1838,I. Etudes de moeurs,I. Scenes de la vie privee,,2,2,2
Natalie de Manerville,8,W,lacomediehumaine_unefilledeve.txt,13,Une fille d'eve,1838,I. Etudes de moeurs,I. Scenes de la vie privee,,2,2,2
Raoul Nathan,187,M,lacomediehumaine_unefilledeve.txt,13,Une fille d'eve,1838,I. Etudes de moeurs,I. Scenes de la vie privee,,2,2,2
Schmuke,32,M,lacomediehumaine_unefilledeve.txt,13,Une fille d'eve,1838,I. Etudes de moeurs,I. Scenes de la vie privee,,2,2,2
Tullia,8,W,lacomediehumaine_unefilledeve.txt,13,Une fille d'eve,1838,I. Etudes de moeurs,I. Scenes de la vie privee,,2,2,2
Claire de Bourgogne,6,W,lacomediehumaine_lafemmeabandonnee.txt,14,La Femme abandonnee,1832,I. Etudes de moeurs,I. Scenes de la vie privee,,2,2,3
Clara de Beauseant,59,W,lacomediehumaine_lafemmeabandonnee.txt,14,La Femme abandonnee,1832,I. Etudes de moeurs,I. Scenes de la vie privee,,2,2,3
Gaston de Nueil,60,M,lacomediehumaine_lafemmeabandonnee.txt,14,La Femme abandonnee,1832,I. Etudes de moeurs,I. Scenes de la vie privee,,2,2,3
Jacques,13,M,lacomediehumaine_lafemmeabandonnee.txt,14,La Femme abandonnee,1832,I. Etudes de moeurs,I. Scenes de la vie privee,,2,2,3
la madame de Champignelles,NA,W,lacomediehumaine_lafemmeabandonnee.txt,14,La Femme abandonnee,1832,I. Etudes de moeurs,I. Scenes de la vie privee,,2,2,3
le marquis de Champignelles,8,M,lacomediehumaine_lafemmeabandonnee.txt,14,La Femme abandonnee,1832,I. Etudes de moeurs,I. Scenes de la vie privee,,2,2,3
Annette,12,W,lacomediehumaine_lagrenadiere.txt,15,La Grenadiere,1832,I. Etudes de moeurs,I. Scenes de la vie privee,,2,2,4
Augusta Willemsens,24,W,lacomediehumaine_lagrenadiere.txt,15,La Grenadiere,1832,I. Etudes de moeurs,I. Scenes de la vie privee,,2,2,4
Louis-Gaston Willemsens,37,M,lacomediehumaine_lagrenadiere.txt,15,La Grenadiere,1832,I. Etudes de moeurs,I. Scenes de la vie privee,,2,2,4
Marie-Gaston Willemsens,24,W,lacomediehumaine_lagrenadiere.txt,15,La Grenadiere,1832,I. Etudes de moeurs,I. Scenes de la vie privee,,2,2,4
Felicite des Touches,15,W,lacomediehumaine_gobseck.txt,17,GobseckÂ ,1830,I. Etudes de moeurs,I. Scenes de la vie privee,,2,2,6
Esther Van Gobseck,99,M,lacomediehumaine_gobseck.txt,17,GobseckÂ ,1830,I. Etudes de moeurs,I. Scenes de la vie privee,,2,2,6
Fanny Malvaut,9,W,lacomediehumaine_gobseck.txt,17,GobseckÂ ,1830,I. Etudes de moeurs,I. Scenes de la vie privee,,2,2,6
Gigonnet,5,M,lacomediehumaine_gobseck.txt,17,GobseckÂ ,1830,I. Etudes de moeurs,I. Scenes de la vie privee,,2,2,6
le comte de Restaud,25,M,lacomediehumaine_gobseck.txt,17,GobseckÂ ,1830,I. Etudes de moeurs,I. Scenes de la vie privee,,2,2,6
maitre Derville,22,M,lacomediehumaine_gobseck.txt,17,GobseckÂ ,1830,I. Etudes de moeurs,I. Scenes de la vie privee,,2,2,6
madame de Grandlieu,20,W,lacomediehumaine_gobseck.txt,17,GobseckÂ ,1830,I. Etudes de moeurs,I. Scenes de la vie privee,,2,2,6
Maxime de Trailles,9,M,lacomediehumaine_gobseck.txt,17,GobseckÂ ,1830,I. Etudes de moeurs,I. Scenes de la vie privee,,2,2,6
Charles de Vandenesse,5,M,lacomediehumaine_autreetudedefemme.txt,18,Autre etude de femme,1842,I. Etudes de moeurs,I. Scenes de la vie privee,,2,2,7
Delphine de Nucingen,NA,W,lacomediehumaine_autreetudedefemme.txt,18,Autre etude de femme,1842,I. Etudes de moeurs,I. Scenes de la vie privee,,2,2,7
Emile Blondet,17,M,lacomediehumaine_autreetudedefemme.txt,18,Autre etude de femme,1842,I. Etudes de moeurs,I. Scenes de la vie privee,,2,2,7
Frederic de Nucingen,8,M,lacomediehumaine_autreetudedefemme.txt,18,Autre etude de femme,1842,I. Etudes de moeurs,I. Scenes de la vie privee,,2,2,7
Henri de Marsay,26,M,lacomediehumaine_autreetudedefemme.txt,18,Autre etude de femme,1842,I. Etudes de moeurs,I. Scenes de la vie privee,,2,2,7
la marquise d'Espard,10,W,lacomediehumaine_autreetudedefemme.txt,18,Autre etude de femme,1842,I. Etudes de moeurs,I. Scenes de la vie privee,,2,2,7
lady Dudley,NA,W,lacomediehumaine_autreetudedefemme.txt,18,Autre etude de femme,1842,I. Etudes de moeurs,I. Scenes de la vie privee,,2,2,7
lord Dudley,8,M,lacomediehumaine_autreetudedefemme.txt,18,Autre etude de femme,1842,I. Etudes de moeurs,I. Scenes de la vie privee,,2,2,7
Rosina,5,W,lacomediehumaine_autreetudedefemme.txt,18,Autre etude de femme,1842,I. Etudes de moeurs,I. Scenes de la vie privee,,2,2,7
Abel,8,M,lacomediehumaine_lafemmedetrenteans.txt,19,La Femme de trente ans,1842,I. Etudes de moeurs,I. Scenes de la vie privee,,3,3,1
Alfred de Vandenesse,7,M,lacomediehumaine_lafemmedetrenteans.txt,19,La Femme de trente ans,1842,I. Etudes de moeurs,I. Scenes de la vie privee,,3,3,1
Arthur Ormond,29,M,lacomediehumaine_lafemmedetrenteans.txt,19,La Femme de trente ans,1842,I. Etudes de moeurs,I. Scenes de la vie privee,,3,3,1
Charles de Vandenesse,36,M,lacomediehumaine_lafemmedetrenteans.txt,19,La Femme de trente ans,1842,I. Etudes de moeurs,I. Scenes de la vie privee,,3,3,1
Fox,5,M,lacomediehumaine_lafemmedetrenteans.txt,19,La Femme de trente ans,1842,I. Etudes de moeurs,I. Scenes de la vie privee,,3,3,1
